Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
52930,2258,49505,6392,443,6,12595,5199758,8,5,385.0,3025.0,204.0,0.0,48.125,75.65794736840274,1506.0,2.0,605.0,801.896502049984,655,2,433313.16666666674,1400257.6647642606,4878194.0,4.0,5199758.0,742822.5714285714,1824284.0002668498,4878194.0,4.0,182893.0,45723.25,51985.802096181345,95403.0,194.0,0,0,0,0,172,104,1.5385331394268733,0.9615832121417958,0.0,1506.0,243.57142857142856,528.4444100428109,279253.4945054945,0,0,0,1,0,0,0,0,0.0,262.3076923076923,48.125,605.0,0,0,0,0,0,0,8,385,5,3025,8192,30016,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
16232,2258,49580,2040,443,6,12599,360534,23,30,955.0,31141.0,300.0,0.0,41.52173913043478,76.35495433423688,1430.0,0.0,1038.0333333333333,605.6429176322968,89023,147,6933.346153846155,21711.66202567283,140094.0,1.0,360534.0,16387.909090909092,31452.456678838287,140094.0,18.0,323209.0,11145.137931034486,35614.68960447575,181855.0,1.0,0,0,0,0,472,612,63.79426073546461,83.20990530712776,0.0,1430.0,594.3703703703702,673.6789531636781,453843.3319357092,0,0,0,1,0,0,0,0,1.0,605.5849056603772,41.52173913043478,1038.0333333333333,0,0,0,0,0,0,23,955,30,31141,8192,360,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
49437,2258,49551,3008,443,6,12614,21,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,571428,95238,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,47619.04761904762,47619.04761904762,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,256,32,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
21592,2260,52658,2103,443,6,12628,195476,9,5,492.0,4126.0,190.0,0.0,54.66666666666666,76.27089877535205,1418.0,0.0,825.2,755.1113825125403,23624,71,15036.615384615388,22858.1063430404,76140.0,7.0,195476.0,24434.5,27892.313897764525,76147.0,55.0,53037.0,13259.25,18318.964733757934,38986.0,48.0,0,0,0,0,296,168,46.041457774867496,25.578587652704158,0.0,1418.0,307.8666666666666,556.6002498160041,309803.838095238,0,0,0,1,0,0,0,0,0.0,329.85714285714283,54.66666666666666,825.2,0,0,0,0,0,0,9,492,5,4126,29200,340,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
38090,2264,60660,2741,53,17,12391,122911,1,1,101.0,165.0,101.0,101.0,101.0,0.0,165.0,165.0,165.0,0.0,2164,16,122911.0,0.0,122911.0,122911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,8.135968302267495,8.135968302267495,101.0,165.0,122.33333333333331,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,183.5,101.0,165.0,0,0,0,0,0,0,1,101,1,165,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
171650,2265,49170,2750,389,6,12689,4054568,21,13,5760.0,9244.0,1660.0,0.0,274.2857142857143,497.85722279154925,2634.0,0.0,711.0769230769231,800.3430995036298,3700,8,122865.69696969698,672582.0187638124,3868244.0,2.0,4054568.0,202728.4,863042.19016389,3868244.0,3.0,126564.0,10547.0,33853.69185453513,117884.0,2.0,0,0,0,0,444,284,5.179343397373037,3.206260198373785,0.0,2634.0,428.68571428571437,649.9978629570558,422497.22184873954,0,0,0,1,0,0,0,0,0.0,441.29411764705884,274.2857142857143,711.0769230769231,0,0,0,0,0,0,21,5760,13,9244,8192,2050,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
62535,2260,40358,3520,443,6,12627,118026754,22,20,1245.0,5319.0,418.0,0.0,56.59090909090909,100.37911900623324,1418.0,0.0,265.95,450.92892134488676,55,0,2878701.3170731706,12755519.12506084,58915292.0,1.0,118026754.0,5620321.6190476185,17599465.214782096,58915292.0,1.0,117978305.0,6209384.47368421,18456653.99846388,59005697.0,1.0,0,0,0,0,712,648,0.18639841607437585,0.16945310552215986,0.0,1418.0,152.6511627906977,329.4308861485452,108524.7087486157,0,0,0,1,0,0,0,0,0.0,156.28571428571428,56.59090909090909,265.95,0,0,0,0,0,0,22,1245,20,5319,29200,183,10,32,476560.0,545869.4645132662,862548.0,90572.0,58512659.5,569408.3421521853,58915292.0,58110027.0,BENIGN,0.0
89821,2263,49241,5517,443,6,13047,30919142,10,5,768.0,719.0,533.0,0.0,76.8,166.21324990639118,581.0,0.0,143.8,251.60127185688071,48,0,2208510.142857143,8216583.963674974,30756078.0,2.0,30919142.0,3435460.222222222,10245264.04822728,30756078.0,2.0,108181.0,27045.25,28869.139374945004,52881.0,1042.0,0,0,0,0,332,168,0.3234242399093739,0.16171211995468696,0.0,581.0,92.9375,187.2664656756961,35068.729166666664,0,0,0,1,0,0,0,0,0.0,99.13333333333334,76.8,143.8,0,0,0,0,0,0,10,768,5,719,65535,79,5,32,163015.0,0.0,163015.0,163015.0,30756078.0,0.0,30756078.0,30756078.0,BENIGN,0.0
244355,2269,1294,3964,443,6,13022,115513730,66,94,1045.0,161045.0,327.0,0.0,15.833333333333329,47.62694238585594,4380.0,0.0,1713.2446808510638,1175.128468714019,1403,1,726501.4465408805,2567907.4150020336,10007359.0,0.0,115513730.0,1777134.3076923075,3803083.015995802,10033461.0,46.0,110432837.0,1187449.8602150541,3254619.399886078,10036331.0,1.0,0,0,0,0,1332,2024,0.5713606512403331,0.8137560790392623,0.0,4380.0,1006.7701863354041,1228.0887093795748,1508201.87810559,0,0,0,1,0,0,0,0,1.0,1013.0625,15.833333333333336,1713.2446808510638,0,0,0,0,0,0,66,1045,94,161045,8192,980,65,20,37139.083333333336,43199.4279664533,174072.0,22819.0,9589001.250000002,1426979.175701602,10007359.0,5057750.0,BENIGN,0.0
1467,2262,123,1192,123,17,13115,66093036,2,2,96.0,96.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2,0,22031012.0,37998120.32868704,65907462.0,92539.0,66000001.0,66000001.0,0.0,66000001.0,66000001.0,66000497.0,66000497.0,0.0,66000497.0,66000497.0,0,0,0,0,40,40,0.03026037417921005,0.03026037417921005,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,92539.0,0.0,92539.0,92539.0,65907462.0,0.0,65907462.0,65907462.0,BENIGN,0.0
